file,Call type,Mean F0,Max F0, Min F0, Range F0,Q25%,Q50%,Q75%,Fpeak,sound duration,AM var,AM rate,AM extent,harmonicity, F1 mean,F2 mean,F3 mean,F4 mean,F5 mean,F6 mean,F7 mean,F8 mean,formant dispersal,vocal tract length,mean wiener entropy,Comment,
HFC_07.30.wav,HFC,205.314,271.220,71.440,199.779,425.718,608.125,1739.897,95.204,2.684,30.606,8.754,3.496,9.33,382.722,611.066,1042.122,1438.643,1731.105,2160.728,2583.698,2840.305,351.083,49.846,-2.222,,
HFC_07.30_1.wav,HFC,178.989,264.106,65.447,198.659,283.801,533.996,1375.213,99.618,2.671,22.096,11.046,2.000,10.44,371.847,623.587,1083.826,1433.597,1753.346,2164.161,2568.722,2907.742,362.271,48.306,-2.152,,
HFC_07.30_2.wav,HFC,235.682,263.492,81.885,181.607,457.231,591.423,1631.777,95.667,2.003,21.850,10.235,2.135,10.17,397.930,579.680,1033.575,1439.582,1710.776,2120.012,2538.725,2873.818,353.698,49.477,-2.295,,
HFC_07.30_3.wav,HFC,212.739,258.599,69.704,188.896,440.771,724.442,1622.773,99.898,1.748,15.531,10.583,1.467,7.67,413.678,637.151,1050.800,1430.447,1786.746,2124.981,2548.702,2911.523,356.835,49.042,-1.805,,
HFC_07.45.wav,HFC,237.534,269.175,77.281,191.895,432.393,718.806,1430.468,114.336,1.639,22.962,10.069,2.281,7.49,403.549,635.102,1038.734,1428.878,1794.789,2141.824,2553.405,2908.445,357.842,48.904,-1.625,,
HFC_07.45_1.wav,HFC,219.575,272.109,74.319,197.790,406.253,615.385,1358.974,119.511,2.003,18.160,7.739,2.347,8.14,385.983,647.704,1073.069,1434.116,1773.796,2142.982,2534.700,2904.976,359.856,48.631,-1.750,,
HFC_07.45_2.wav,HFC,235.845,275.723,71.913,203.810,475.332,991.449,1672.580,99.774,2.513,21.134,10.944,1.931,7.09,423.352,732.451,1050.096,1408.834,1784.467,2180.128,2578.619,2928.586,357.891,48.898,-1.708,,
HFC_08.00.wav,HFC,228.340,274.797,73.773,201.024,433.256,761.443,1577.167,117.180,2.112,15.951,8.759,1.821,7.13,405.148,646.880,1024.933,1429.846,1799.659,2127.274,2550.711,2946.778,363.090,48.197,-1.644,,
HFC_08.00_1.wav,HFC,230.843,281.483,70.955,210.528,357.390,616.393,1232.929,139.746,2.476,21.339,10.701,1.994,5.58,365.751,679.352,1039.044,1415.943,1763.154,2150.680,2561.959,2959.560,370.544,47.228,-1.429,,
HFC_08.00_2.wav,HFC,245.132,273.646,81.185,192.462,455.106,924.964,1661.604,126.910,2.003,11.886,10.734,1.107,5.95,425.869,716.849,1072.230,1427.115,1810.926,2196.151,2605.875,2952.269,360.914,48.488,-1.500,,
HFC_08.00_3.wav,HFC,209.704,256.352,74.840,181.511,381.663,607.159,1254.382,132.542,2.039,21.640,10.543,2.053,6.24,372.453,656.311,1035.765,1399.071,1781.329,2136.720,2537.503,2902.773,361.474,48.413,-1.402,,
HFC_08.00_4.wav,HFC,216.217,263.392,78.690,184.702,350.480,718.284,1615.111,125.987,1.857,22.062,11.307,1.951,3.24,351.371,673.286,1020.199,1398.205,1775.268,2145.893,2566.728,2947.616,370.892,47.184,-1.344,,
HFC_08.00_5.wav,HFC,236.459,267.737,77.506,190.231,453.799,816.501,1776.393,129.905,1.803,15.471,10.818,1.430,7.07,421.911,653.765,1053.254,1462.649,1800.198,2150.051,2595.303,2931.623,358.530,48.810,-1.577,,
HFC_08.15_1.wav,HFC,219.249,260.608,75.551,185.057,402.569,593.667,1390.559,132.019,1.711,29.903,11.983,2.495,5.23,373.895,641.052,1034.723,1403.583,1769.665,2098.750,2552.234,2901.709,361.116,48.461,-1.458,,
HFC_08.15_2.wav,HFC,232.077,270.344,78.377,191.967,475.656,913.096,1816.509,104.036,1.857,11.400,9.961,1.145,2.78,409.805,731.568,1037.934,1427.821,1806.070,2184.412,2587.650,2945.243,362.205,48.315,-1.198,,
