file,Call type,Mean F0,Max F0, Min F0, Range F0,Q25%,Q50%,Q75%,Fpeak,sound duration,AM var,AM rate,AM extent,harmonicity, F1 mean,F2 mean,F3 mean,F4 mean,F5 mean,F6 mean,F7 mean,F8 mean,formant dispersal,vocal tract length,mean wiener entropy,Comment,
LFC_07.30.wav,LFC,82.193,85.751,73.921,11.830,91.722,304.540,2257.888,78.789,1.207,15.663,6.215,2.520,15.47,356.704,840.596,1241.804,1631.774,2040.412,2574.425,3141.079,3156.913,400.030,43.747,-2.446,,
LFC_07.30_1.wav,LFC,82.702,86.553,71.286,15.266,189.829,508.010,1216.453,82.094,1.118,20.219,11.633,1.738,5.50,330.909,754.910,1177.241,1507.755,1927.726,2273.073,2925.467,3323.448,427.506,40.935,-0.910,,
LFC_07.45.wav,LFC,104.511,111.919,84.233,27.685,242.820,473.396,907.948,219.392,0.965,39.716,10.880,3.650,2.05,345.757,735.332,1055.834,1465.660,1916.450,2374.238,2845.616,3202.956,408.171,42.874,-0.947,,
LFC_07.45_1.wav,LFC,79.785,85.460,70.682,14.778,142.114,829.076,4000.904,86.459,0.892,21.639,3.362,6.436,10.43,415.984,860.131,1260.997,1610.063,2000.159,2490.451,3065.921,3414.684,428.386,40.851,-2.744,,
LFC_07.45_2.wav,LFC,79.398,82.797,69.524,13.273,97.929,297.821,1219.419,81.347,1.693,19.335,6.201,3.118,12.38,459.641,889.764,1298.093,1688.576,2073.521,2635.601,3182.092,3313.279,407.663,42.928,-1.301,,
LFC_08.45.wav,LFC,77.185,79.162,68.511,10.651,123.535,433.726,1187.476,78.795,1.621,14.240,8.948,1.591,12.55,367.455,820.455,1189.337,1514.353,1940.786,2468.436,3071.584,3295.652,418.314,41.835,-0.949,,
LFC_08.45_1.wav,LFC,68.497,73.921,62.628,11.293,132.417,451.289,1128.552,76.909,1.875,31.237,7.465,4.185,8.99,295.282,741.463,1152.503,1508.888,1850.693,2248.090,2902.755,3313.177,431.128,40.591,-1.093,,
LFC_09.15.wav,LFC,76.220,87.941,64.476,23.465,107.753,311.912,1008.281,72.064,1.548,24.433,11.953,2.044,8.67,342.329,819.898,1190.031,1559.173,1974.165,2463.690,3016.404,3329.031,426.672,41.015,-0.961,,
LFC_09.15_1.wav,LFC,88.935,100.281,69.699,30.582,159.691,443.950,1317.458,90.825,1.001,30.584,8.987,3.403,7.06,299.216,787.953,1200.979,1563.652,2002.658,2455.605,2945.354,3387.607,441.199,39.665,-1.157,,
LFC_09.30.wav,LFC,76.163,79.165,66.001,13.164,109.700,441.672,1098.224,81.858,1.129,16.106,4.872,3.306,10.45,461.668,858.674,1220.813,1592.053,2004.760,2552.238,3045.561,3402.783,420.159,41.651,-0.975,,
LFC_09.45.wav,LFC,75.285,79.574,62.571,17.003,134.294,415.547,1087.382,80.090,1.184,22.849,7.182,3.182,8.88,334.339,787.874,1147.138,1534.335,1970.937,2441.105,3000.644,3305.248,424.416,41.233,-0.927,,
LFC_09.45_1.wav,LFC,82.295,84.924,67.860,17.064,183.774,860.984,3770.206,86.271,1.202,19.647,6.241,3.148,11.21,428.788,854.393,1221.508,1610.994,2034.854,2575.079,3148.448,3223.689,399.272,43.830,-2.449,,
LFC_10.00.wav,LFC,69.904,94.273,61.868,32.405,112.020,453.831,1355.548,79.754,1.165,26.876,5.578,4.818,8.98,375.813,843.356,1181.088,1547.906,1938.048,2404.623,3010.562,3208.285,404.639,43.248,-0.989,,
LFC_10.15.wav,LFC,73.649,78.566,61.890,16.676,100.598,427.999,1047.140,77.423,1.038,25.508,6.744,3.782,10.24,421.320,836.006,1221.875,1612.610,1997.629,2475.761,3029.502,2998.762,368.206,47.528,-0.948,,
LFC_10.45.wav,LFC,72.354,75.334,61.648,13.687,117.742,567.917,1544.153,75.227,0.874,18.576,5.149,3.608,10.69,440.649,884.423,1226.810,1636.182,2019.269,2490.218,3050.070,2890.192,349.935,50.009,-1.062,,
LFC_11.00.wav,LFC,71.798,74.545,62.527,12.018,120.293,454.243,1628.539,72.085,1.074,15.881,6.051,2.625,12.14,356.681,835.977,1197.548,1573.640,1961.016,2448.375,3073.180,3370.819,430.591,40.642,-1.222,,
LFC_11.15.wav,LFC,79.540,82.911,71.814,11.097,123.975,390.991,1234.383,78.216,1.295,9.974,5.789,1.723,14.01,340.269,836.285,1173.146,1546.288,1970.190,2459.313,3076.778,3293.243,421.853,41.484,-1.116,,
