file,Call type,Mean F0,Max F0, Min F0, Range F0,Q25%,Q50%,Q75%,Fpeak,sound duration,AM var,AM rate,AM extent,harmonicity, F1 mean,F2 mean,F3 mean,F4 mean,F5 mean,F6 mean,F7 mean,F8 mean,formant dispersal,vocal tract length,mean wiener entropy,Comment,
HFC_07.30.wav,HFC,165.421,284.890,136.163,148.727,263.922,369.378,607.803,162.445,1.490,52.531,12.079,4.349,11.40,304.318,590.409,886.539,1274.272,1625.683,2022.410,2465.363,2864.901,365.798,47.841,-1.458,,
HFC_07.30_1.wav,HFC,185.376,294.728,114.759,179.969,291.152,357.033,594.940,178.809,1.557,71.426,12.201,5.854,9.43,300.942,560.463,830.675,1271.523,1645.575,2046.570,2439.429,2794.050,356.158,49.135,-1.686,,
HFC_07.30_2.wav,HFC,94.411,104.566,77.213,27.353,108.777,198.409,460.708,95.840,0.854,51.277,7.026,7.298,9.15,278.561,612.979,1049.531,1429.266,1833.925,2236.428,2676.113,2915.201,376.663,46.461,-0.926,,
HFC_07.45.wav,HFC,188.687,292.406,108.181,184.225,265.117,303.633,383.204,164.801,1.775,55.771,9.578,5.823,13.45,271.150,475.942,807.928,1290.532,1668.069,2080.217,2442.938,2832.392,365.892,47.828,-2.048,,
HFC_08.00.wav,HFC,171.085,285.342,92.170,193.172,297.021,397.781,824.477,134.153,1.607,63.937,10.576,6.045,8.32,291.601,560.982,940.389,1310.375,1638.217,2029.072,2465.902,2833.494,363.128,48.192,-1.526,,
HFC_08.00_1.wav,HFC,182.176,296.632,102.072,194.560,232.811,337.202,579.918,138.176,1.607,55.085,8.399,6.559,9.76,273.540,546.417,889.403,1313.774,1674.293,2031.099,2499.799,2827.731,364.884,47.960,-1.264,,
HFC_08.00_2.wav,HFC,188.039,261.025,111.028,149.998,209.603,391.912,778.026,220.419,1.356,51.898,12.535,4.140,5.46,295.251,644.298,992.046,1333.969,1706.628,2099.694,2545.863,2873.236,368.284,47.518,-1.194,,
HFC_08.15.wav,HFC,254.582,274.842,158.568,116.274,262.503,318.828,557.577,261.731,1.072,66.986,10.732,6.242,10.49,273.356,516.817,839.656,1270.772,1655.756,2037.176,2444.402,2859.104,369.392,47.375,-1.556,,
HFC_08.15_1.wav,HFC,173.382,233.542,100.460,133.081,207.616,307.084,489.842,131.636,1.591,73.643,9.430,7.809,9.71,262.653,509.646,856.967,1290.262,1632.201,2010.069,2465.306,2851.715,369.866,47.314,-1.371,,
HFC_08.15_2.wav,HFC,211.243,260.392,128.653,131.739,242.491,333.392,597.267,239.324,1.339,56.871,11.571,4.915,10.22,277.042,526.895,877.070,1251.447,1639.571,2035.419,2465.829,2836.101,365.580,47.869,-1.469,,
HFC_08.30.wav,HFC,205.728,253.767,111.810,141.957,224.026,390.673,624.354,159.025,1.256,51.959,11.149,4.661,6.63,299.628,572.216,876.199,1263.947,1657.312,2037.777,2465.684,2813.706,359.154,48.726,-1.184,,
HFC_08.30_1.wav,HFC,222.455,260.675,127.377,133.298,250.503,302.238,492.219,244.537,1.072,58.967,9.332,6.319,8.85,276.725,515.966,835.851,1258.765,1630.360,2009.415,2478.665,2784.060,358.191,48.857,-1.497,,
HFC_08.30_2.wav,HFC,218.959,270.001,116.777,153.224,250.256,361.008,581.433,252.949,1.356,53.870,7.005,7.691,8.25,288.998,551.321,846.317,1245.265,1653.779,2003.524,2446.929,2774.702,355.100,49.282,-1.427,,
HFC_08.45.wav,HFC,220.260,248.735,138.829,109.906,239.846,289.436,471.967,238.433,1.155,49.443,10.820,4.570,10.55,268.767,490.512,854.304,1267.853,1664.225,2042.711,2424.401,2861.194,370.347,47.253,-1.660,,
HFC_08.45_1.wav,HFC,183.627,225.389,133.259,92.130,207.379,345.924,541.254,187.125,0.820,61.479,8.532,7.206,7.52,295.911,545.247,898.312,1257.138,1700.282,2051.884,2448.577,2843.133,363.889,48.092,-1.256,,
HFC_08.45_2.wav,HFC,223.318,263.026,107.272,155.755,253.933,312.352,576.008,178.614,1.222,42.209,9.818,4.299,10.17,281.381,535.459,933.681,1301.398,1678.445,2073.125,2503.586,2859.158,368.254,47.522,-1.633,,
HFC_09.00.wav,HFC,207.478,240.496,128.519,111.977,212.647,347.307,595.335,218.955,1.624,40.626,8.004,5.076,7.83,281.513,569.029,931.028,1303.619,1674.898,2076.587,2494.767,2861.847,368.619,47.474,-1.528,,
HFC_09.00_1.wav,HFC,197.206,210.953,90.171,120.782,203.992,375.696,658.625,197.163,1.691,31.900,9.166,3.480,11.97,291.072,563.665,918.756,1306.158,1681.734,2079.942,2482.892,2911.827,374.394,46.742,-1.336,,
HFC_09.00_2.wav,HFC,198.593,239.288,138.944,100.345,208.723,350.588,579.974,202.346,1.792,32.388,8.372,3.868,12.94,287.750,549.806,925.540,1290.952,1665.144,2046.478,2453.885,2876.767,369.860,47.315,-1.475,,
HFC_09.15.wav,HFC,220.919,260.725,124.551,136.174,248.956,307.923,528.469,249.887,1.289,46.321,11.247,4.119,9.73,272.130,510.055,837.466,1255.429,1600.100,2012.413,2402.804,2760.344,355.459,49.232,-1.642,,
HFC_09.15_1.wav,HFC,222.068,269.550,102.069,167.482,251.501,333.561,575.648,258.145,1.256,42.497,10.352,4.105,10.30,276.163,546.180,862.705,1250.179,1651.432,2017.576,2439.626,2798.919,360.394,48.558,-1.568,,
HFC_09.15_2.wav,HFC,170.102,276.785,81.559,195.226,226.249,410.488,632.796,187.237,1.423,51.445,8.783,5.857,3.45,292.014,555.341,906.716,1314.276,1674.212,2079.224,2502.495,2818.813,360.971,48.480,-1.079,,
HFC_09.30.wav,HFC,200.924,225.632,140.851,84.781,196.305,343.762,594.749,205.458,1.206,49.383,9.954,4.961,8.85,276.352,572.702,912.630,1278.290,1646.795,2029.492,2463.792,2881.677,372.189,47.019,-1.454,,
HFC_09.30_1.wav,HFC,180.053,254.261,66.280,187.981,216.526,352.612,596.636,144.008,2.294,57.837,10.681,5.415,8.65,259.176,524.323,884.683,1269.152,1604.569,2013.394,2479.009,2824.493,366.474,47.752,-1.279,,
HFC_09.30_2.wav,HFC,192.431,265.444,71.435,194.008,231.056,325.302,522.086,218.587,1.490,52.446,12.079,4.342,7.02,278.903,519.019,882.397,1302.893,1654.783,2051.573,2483.530,2829.004,364.300,48.037,-1.428,,
HFC_09.45.wav,HFC,187.631,251.779,112.893,138.886,218.146,377.726,540.929,188.285,1.024,34.845,12.213,2.853,9.27,328.267,531.732,905.526,1287.448,1693.788,2079.166,2485.552,2774.776,349.501,50.071,-1.421,,
HFC_09.45_1.wav,HFC,179.985,205.421,80.315,125.106,198.784,336.962,590.303,177.310,1.332,46.027,9.385,4.904,10.15,277.535,569.506,889.880,1289.503,1661.417,2027.450,2446.499,2796.501,359.852,48.631,-1.279,,
HFC_09.45_2.wav,HFC,215.677,252.906,144.048,108.858,222.368,393.758,695.891,220.651,1.038,54.808,11.084,4.945,6.61,262.388,571.166,873.403,1266.809,1629.576,2030.454,2389.700,2831.423,367.005,47.683,-1.435,,
HFC_10.00.wav,HFC,189.617,203.557,143.121,60.436,196.420,318.474,596.789,185.162,1.192,46.087,8.391,5.492,10.87,263.321,577.858,881.018,1292.606,1607.782,2018.415,2439.306,2845.041,368.817,47.449,-1.354,,
HFC_10.00_1.wav,HFC,220.866,252.897,157.107,95.790,219.351,352.292,664.437,227.247,1.276,54.888,11.365,4.830,7.34,275.526,571.118,933.685,1254.533,1682.441,2027.492,2432.450,2857.404,368.840,47.446,-1.457,,
HFC_10.00_2.wav,HFC,217.275,252.495,163.825,88.671,223.963,346.503,651.513,216.352,1.178,53.143,13.161,4.038,6.17,281.038,584.564,924.523,1274.989,1681.454,2059.117,2485.371,2817.698,362.380,48.292,-1.482,,
HFC_10.15.wav,HFC,194.959,213.192,142.107,71.085,211.820,367.974,554.584,200.245,0.785,55.126,10.826,5.092,6.05,288.253,559.400,856.327,1240.319,1640.586,2039.934,2452.448,2835.280,363.861,48.095,-1.184,,
HFC_10.15_1.wav,HFC,149.560,268.383,114.009,154.374,223.944,522.216,768.978,129.798,1.150,37.257,12.612,2.954,7.20,339.676,656.430,957.989,1272.602,1574.158,2054.795,2444.737,2834.644,356.424,49.099,-0.958,,
HFC_10.15_2.wav,HFC,184.297,204.423,109.007,95.416,198.333,352.388,601.305,189.255,1.556,41.210,6.104,6.751,14.11,261.157,540.982,882.256,1310.103,1680.467,2051.347,2492.531,2891.203,375.721,46.577,-1.376,,
HFC_10.30.wav,HFC,170.773,208.775,108.299,100.476,193.745,297.535,521.822,173.802,1.108,39.666,8.577,4.625,10.76,276.968,551.750,882.304,1274.379,1655.364,2080.992,2506.231,2784.930,358.280,48.844,-1.397,,
HFC_10.30_1.wav,HFC,175.243,253.499,88.404,165.095,190.884,354.662,603.584,168.530,1.514,47.369,10.897,4.347,7.33,280.718,567.061,914.593,1253.974,1606.579,2021.854,2438.067,2830.338,364.231,48.046,-1.323,,
HFC_10.30_2.wav,HFC,165.277,268.849,131.167,137.682,253.233,385.191,558.291,166.255,1.262,52.072,10.302,5.054,9.57,280.764,526.365,846.628,1243.073,1600.131,2050.074,2457.746,2814.449,361.955,48.349,-1.240,,
HFC_10.45.wav,HFC,158.617,200.832,97.549,103.283,173.948,374.789,616.191,159.982,1.528,56.576,12.433,4.551,7.70,248.045,585.509,918.979,1229.860,1613.125,2052.631,2471.425,2812.261,366.316,47.773,-1.381,,
HFC_10.45_1.wav,HFC,194.285,212.956,133.974,78.982,200.165,344.987,526.962,195.635,1.248,42.778,9.216,4.642,11.10,291.521,528.104,863.876,1276.952,1668.404,2013.556,2462.810,2854.488,366.138,47.796,-1.461,,
HFC_10.45_2.wav,HFC,194.235,207.808,139.277,68.531,196.031,330.352,497.188,193.616,1.038,35.173,7.229,4.866,12.99,309.557,525.263,864.999,1280.452,1666.975,2060.354,2504.625,2919.396,372.834,46.938,-1.452,,
HFC_11.00.wav,HFC,185.454,211.860,104.121,107.738,202.926,352.138,529.965,183.898,1.290,38.413,6.590,5.829,12.62,295.926,535.787,872.521,1266.943,1701.587,2034.111,2472.937,2802.347,358.060,48.874,-1.476,,
HFC_11.00_1.wav,HFC,184.648,215.533,136.153,79.379,207.210,321.349,485.551,190.841,1.080,46.996,8.800,5.341,11.55,289.530,515.734,835.092,1257.013,1649.760,2032.307,2453.326,2819.853,361.475,48.413,-1.501,,
HFC_11.00_2.wav,HFC,195.184,209.377,142.040,67.338,203.728,351.471,544.609,188.804,1.038,35.342,5.301,6.667,11.29,304.914,550.903,854.232,1270.346,1666.975,2048.651,2472.780,2880.696,367.969,47.558,-1.441,,
HFC_11.15.wav,HFC,217.867,247.593,142.385,105.208,226.039,288.349,525.664,226.180,0.981,64.420,10.189,6.322,8.15,250.630,528.675,827.898,1260.536,1649.470,2029.099,2426.994,2811.574,365.849,47.834,-1.642,,
