file,Call type,Mean F0,Max F0, Min F0, Range F0,Q25%,Q50%,Q75%,Fpeak,sound duration,AM var,AM rate,AM extent,harmonicity, F1 mean,F2 mean,F3 mean,F4 mean,F5 mean,F6 mean,F7 mean,F8 mean,formant dispersal,vocal tract length,mean wiener entropy,Comment,
LFC_07.30.wav,LFC,87.382,91.841,75.368,16.473,180.232,340.761,671.180,89.700,1.122,29.830,10.697,2.789,9.34,336.836,667.432,1179.232,1586.392,1986.687,2512.396,2978.247,3218.352,411.645,42.512,-0.751,,
LFC_07.30_1.wav,LFC,97.672,106.045,75.537,30.507,124.719,288.120,555.345,96.350,1.239,34.065,8.474,4.020,9.30,345.008,713.609,1258.412,1667.200,2094.453,2590.502,3007.923,3024.914,382.844,45.711,-0.782,,
LFC_07.30_2.wav,LFC,84.310,89.914,72.484,17.429,205.553,373.804,749.959,84.759,1.256,38.478,8.361,4.602,9.54,331.277,664.318,1161.036,1589.367,2023.019,2489.751,2956.793,3303.087,424.544,41.221,-0.725,,
LFC_07.45.wav,LFC,97.787,118.504,82.189,36.315,145.462,253.017,463.585,107.968,1.239,59.201,10.896,5.434,2.98,281.316,561.446,1144.700,1553.846,2024.504,2512.290,2904.767,3265.446,426.304,41.050,-0.530,,
LFC_07.45_1.wav,LFC,98.201,105.475,79.126,26.348,105.753,185.306,405.765,98.720,1.239,33.383,6.860,4.866,12.79,282.436,625.569,1171.729,1587.383,2075.250,2588.176,2970.367,3323.110,434.382,40.287,-1.068,,
LFC_07.45_2.wav,LFC,92.559,101.961,71.628,30.333,115.674,230.192,486.292,93.205,1.273,41.212,8.251,4.995,8.95,332.682,656.928,1215.682,1614.638,2047.217,2559.914,2953.972,3155.289,403.230,43.400,-0.787,,
LFC_08.00.wav,LFC,99.867,115.275,85.326,29.949,124.802,270.870,425.756,102.931,1.256,47.611,11.547,4.123,7.31,326.388,628.223,1154.181,1580.883,1975.944,2507.984,2925.819,3202.183,410.828,42.597,-0.765,,
LFC_08.00_1.wav,LFC,89.920,104.670,72.303,32.367,132.978,268.928,504.659,99.459,1.273,52.831,7.465,7.077,6.42,348.605,722.969,1232.832,1656.480,2068.452,2559.147,3054.426,3318.643,424.291,41.245,-0.583,,
LFC_08.15.wav,LFC,85.435,95.154,66.243,28.911,109.599,187.932,437.417,96.527,1.155,58.206,9.088,6.405,8.94,247.266,621.898,1167.468,1592.436,1954.015,2393.168,2916.488,3179.513,418.892,41.777,-0.832,,
LFC_08.30.wav,LFC,95.725,110.689,68.706,41.983,104.869,164.020,336.698,101.050,1.005,42.233,8.959,4.714,7.52,281.658,622.127,1243.268,1610.161,2050.199,2614.243,3023.590,3317.097,433.634,40.357,-0.820,,
LFC_08.45.wav,LFC,96.536,113.722,72.499,41.222,106.479,178.628,405.038,105.915,0.971,43.517,12.357,3.522,4.57,286.380,636.546,1180.904,1576.364,1998.386,2536.222,2999.792,3307.103,431.532,40.553,-0.903,,
LFC_09.00.wav,LFC,83.724,97.194,66.145,31.049,110.711,186.048,424.715,113.127,1.088,54.366,12.864,4.226,3.52,257.217,554.203,1118.814,1568.938,1959.901,2401.258,2936.539,3196.106,419.841,41.682,-0.740,,
LFC_09.15.wav,LFC,78.197,84.135,66.162,17.974,125.308,200.081,415.128,86.456,1.072,51.748,7.932,6.524,9.30,277.258,665.808,1205.724,1604.471,2012.810,2534.798,2964.617,3257.443,425.741,41.105,-0.795,,
LFC_09.15_1.wav,LFC,103.007,113.534,74.354,39.180,108.556,170.707,347.454,106.952,1.356,37.867,9.954,3.804,7.53,270.146,590.609,1150.456,1561.869,1992.484,2567.642,2991.907,3185.904,416.537,42.013,-1.241,,
LFC_09.15_2.wav,LFC,73.617,108.397,62.689,45.708,128.044,197.029,412.890,142.523,1.273,38.539,10.216,3.773,9.58,272.312,622.896,1151.141,1563.285,1926.517,2492.452,2929.739,3369.268,442.422,39.555,-0.639,,
LFC_09.45.wav,LFC,99.918,114.409,71.268,43.141,131.410,243.770,574.873,115.354,1.402,56.471,9.272,6.090,9.98,286.543,663.314,1087.189,1454.599,1925.838,2438.816,2888.626,3221.132,419.227,41.744,-1.148,,
LFC_10.30.wav,LFC,81.725,98.842,68.273,30.569,115.322,187.085,358.478,106.455,1.122,50.176,10.699,4.690,7.05,254.906,578.935,1138.977,1551.997,1973.996,2488.824,2956.136,3372.161,445.322,39.297,-0.666,,
LFC_11.00.wav,LFC,82.671,94.209,68.187,26.022,125.574,205.560,415.111,98.163,1.052,44.550,9.035,4.931,7.56,258.262,600.029,1126.460,1534.771,1913.769,2441.472,2936.471,3238.289,425.718,41.107,-0.764,,
LFC_11.15.wav,LFC,76.691,81.231,66.485,14.745,130.510,223.434,477.575,150.452,1.528,35.137,7.852,4.475,12.76,266.162,596.209,1112.415,1562.120,1946.773,2477.819,2923.692,3303.300,433.877,40.334,-0.762,,
LFC_11.30.wav,LFC,76.046,82.214,67.894,14.320,130.301,199.757,408.986,149.112,0.995,40.654,6.530,6.226,10.55,253.866,620.478,1153.649,1568.179,1947.227,2506.183,2932.024,3317.764,437.700,39.982,-0.882,,
