file,Call type,Mean F0,Max F0, Min F0, Range F0,Q25%,Q50%,Q75%,Fpeak,sound duration,AM var,AM rate,AM extent,harmonicity, F1 mean,F2 mean,F3 mean,F4 mean,F5 mean,F6 mean,F7 mean,F8 mean,formant dispersal,vocal tract length,mean wiener entropy,Comment,
HFC_07.30.wav,HFC,230.556,277.188,102.815,174.373,523.626,773.553,1970.065,238.810,1.924,29.436,10.915,2.697,8.92,412.403,675.373,1038.669,1408.416,1806.377,2176.307,2601.472,2914.429,357.432,48.960,-2.362,,
HFC_07.30_1.wav,HFC,226.542,245.886,99.379,146.507,236.485,613.522,948.400,224.443,1.924,37.258,10.136,3.676,10.10,424.198,686.756,1116.549,1426.718,1848.790,2198.464,2617.999,2878.050,350.550,49.922,-1.843,,
HFC_07.30_2.wav,HFC,218.965,245.517,93.286,152.232,313.169,680.353,1063.860,227.420,1.785,34.294,10.362,3.310,11.18,428.035,691.297,1014.671,1416.324,1849.086,2178.961,2592.456,2898.273,352.891,49.590,-2.298,,
HFC_07.45.wav,HFC,232.341,261.049,157.121,103.928,307.239,700.903,968.922,214.511,2.093,43.208,13.376,3.230,12.16,455.589,698.284,1027.215,1451.250,1858.476,2210.239,2559.331,2912.392,350.972,49.862,-2.369,,
HFC_07.45_1.wav,HFC,190.679,270.291,104.557,165.734,516.713,835.756,2064.447,40.520,2.216,34.391,11.280,3.049,5.89,355.734,683.439,1018.577,1407.427,1779.245,2178.425,2574.464,2948.918,370.455,47.239,-2.026,,
HFC_07.45_2.wav,HFC,235.579,279.839,207.882,71.957,524.297,900.057,2057.259,233.084,2.109,36.580,9.722,3.763,7.13,383.558,673.563,1053.381,1417.332,1792.383,2182.990,2584.878,2925.760,363.172,48.187,-2.135,,
HFC_08.00.wav,HFC,177.521,281.458,62.799,218.659,318.463,655.210,1408.706,55.871,2.309,25.019,11.911,2.100,5.33,310.117,663.635,1004.101,1374.814,1760.904,2162.303,2546.810,2915.049,372.133,47.026,-1.475,,
HFC_08.00_1.wav,HFC,208.769,260.047,112.172,147.875,303.266,663.917,1313.681,248.447,1.832,41.889,11.192,3.743,6.53,333.405,661.541,1011.656,1388.249,1776.327,2178.086,2563.775,2971.158,376.822,46.441,-1.793,,
HFC_08.00_2.wav,HFC,198.348,283.668,101.094,182.574,308.591,692.155,1532.621,237.646,1.985,19.379,12.340,1.570,6.27,317.026,669.493,1031.640,1381.127,1780.600,2154.706,2547.955,2984.612,381.084,45.922,-1.440,,
HFC_08.15.wav,HFC,238.392,293.208,100.762,192.445,263.898,505.261,1241.097,266.280,2.524,21.670,11.291,1.919,8.25,285.607,635.619,973.865,1349.665,1745.987,2119.329,2510.406,2908.619,374.716,46.702,-1.831,,
HFC_08.15_1.wav,HFC,255.204,298.035,101.261,196.774,264.784,511.690,1345.254,265.223,3.017,30.264,12.431,2.435,8.56,279.385,640.252,982.311,1362.514,1739.102,2132.720,2534.445,2915.815,376.633,46.464,-1.892,,
HFC_08.15_2.wav,HFC,236.642,296.856,113.911,182.945,274.817,493.539,1106.427,267.239,2.324,28.924,12.478,2.318,8.67,300.709,645.011,982.235,1360.695,1738.543,2138.412,2556.345,2953.272,378.938,46.182,-1.591,,
HFC_08.30.wav,HFC,256.032,299.474,88.230,211.244,271.716,513.186,1519.264,264.636,2.263,28.702,10.608,2.706,8.95,274.861,650.460,987.453,1392.732,1757.959,2163.337,2565.936,2889.938,373.582,46.844,-2.212,,
HFC_08.30_1.wav,HFC,217.641,295.140,129.199,165.942,328.403,710.217,1903.999,299.297,2.293,18.685,13.517,1.382,7.25,309.252,655.019,1002.849,1374.249,1740.732,2136.287,2533.314,2921.082,373.119,46.902,-1.890,,
HFC_08.30_2.wav,HFC,219.932,291.357,128.396,162.961,288.898,611.656,1716.740,278.606,2.493,20.778,10.828,1.919,7.80,296.442,686.971,1009.029,1371.250,1766.681,2162.411,2558.833,2931.115,376.382,46.495,-1.869,,
HFC_08.45.wav,HFC,240.910,279.009,198.467,80.542,297.708,603.685,1607.801,223.900,2.370,36.882,13.079,2.820,6.73,296.981,613.493,985.227,1371.598,1772.288,2145.381,2561.659,2944.115,378.162,46.276,-2.236,,
