file,Call type,Mean F0,Max F0, Min F0, Range F0,Q25%,Q50%,Q75%,Fpeak,sound duration,AM var,AM rate,AM extent,harmonicity, F1 mean,F2 mean,F3 mean,F4 mean,F5 mean,F6 mean,F7 mean,F8 mean,formant dispersal,vocal tract length,mean wiener entropy,Comment,
HFC_07.30.wav,HFC,178.956,258.485,142.649,115.836,289.941,496.054,578.880,172.646,1.737,49.283,9.502,5.187,11.70,385.635,573.735,909.494,1241.016,1740.539,2109.807,2467.517,2823.394,348.251,50.251,-0.424,,
HFC_07.30_1.wav,HFC,182.357,269.007,140.464,128.542,409.763,530.173,697.782,174.463,1.946,60.433,11.051,5.469,9.23,392.458,607.655,897.835,1212.822,1696.886,2084.306,2453.524,2798.442,343.712,50.915,-0.491,,
HFC_07.30_2.wav,HFC,169.116,180.679,137.561,43.119,385.964,527.029,670.085,163.265,1.672,45.305,10.465,4.329,9.69,384.775,595.033,892.877,1207.365,1692.309,2099.636,2442.406,2803.071,345.471,50.655,-0.467,,
HFC_07.45.wav,HFC,171.775,261.808,132.444,129.364,409.592,549.065,768.344,147.629,1.720,51.396,11.334,4.535,8.24,386.213,622.460,900.530,1206.480,1678.796,2078.007,2425.257,2819.542,347.618,50.343,-0.471,,
HFC_07.45_1.wav,HFC,157.042,257.664,120.266,137.398,404.757,555.851,783.829,141.297,2.492,41.636,8.025,5.188,11.17,398.877,622.433,921.542,1225.658,1689.935,2063.546,2416.750,2763.146,337.753,51.813,-0.382,,
HFC_07.45_2.wav,HFC,177.291,253.600,147.145,106.455,315.900,495.697,618.593,181.836,1.817,60.668,10.457,5.802,7.48,358.149,583.572,875.600,1195.792,1712.368,2084.852,2465.803,2852.685,356.362,49.107,-0.464,,
HFC_08.00.wav,HFC,162.783,244.110,134.212,109.898,367.814,535.041,752.864,148.597,1.158,50.347,9.070,5.551,4.05,381.850,627.848,918.963,1220.660,1673.479,2058.034,2427.766,2800.412,345.509,50.650,-0.286,,
HFC_08.00_1.wav,HFC,199.791,274.369,136.190,138.179,198.684,292.335,598.120,200.528,1.769,76.246,14.417,5.288,4.32,257.348,588.444,840.904,1180.615,1535.940,2032.609,2425.686,2855.088,371.106,47.156,-0.309,,
HFC_08.00_2.wav,HFC,171.804,265.060,128.106,136.954,413.741,543.718,761.118,160.006,2.074,51.563,9.883,5.217,9.45,406.789,619.160,931.624,1227.958,1701.229,2092.979,2445.088,2775.527,338.391,51.715,-0.520,,
HFC_08.15.wav,HFC,158.282,202.376,123.700,78.676,177.771,367.342,579.143,179.179,1.431,43.364,10.132,4.280,3.67,293.614,577.633,867.401,1161.691,1640.272,2063.790,2465.989,2851.058,365.349,47.899,-0.088,,
HFC_08.15_1.wav,HFC,164.749,244.928,131.103,113.825,337.488,479.848,627.447,154.732,1.769,41.798,10.460,3.996,8.55,348.658,578.948,846.245,1200.214,1670.821,2006.499,2392.734,2819.850,353.027,49.571,-0.375,,
