file,Call type,Mean F0,Max F0, Min F0, Range F0,Q25%,Q50%,Q75%,Fpeak,sound duration,AM var,AM rate,AM extent,harmonicity, F1 mean,F2 mean,F3 mean,F4 mean,F5 mean,F6 mean,F7 mean,F8 mean,formant dispersal,vocal tract length,mean wiener entropy,Comment,
LFC_07.30.wav,LFC,87.347,90.784,78.174,12.610,88.331,145.460,611.185,86.989,1.253,31.310,6.785,4.615,16.79,253.244,682.542,1286.499,1660.144,2198.024,2661.529,3016.115,3378.683,446.491,39.194,-1.444,,
LFC_07.30_1.wav,LFC,85.926,90.506,75.172,15.334,87.646,136.070,323.893,91.498,1.334,23.493,6.372,3.687,11.06,267.461,690.461,1171.002,1593.727,2100.217,2552.545,2958.375,3285.433,431.139,40.590,-0.801,,
LFC_07.30_2.wav,LFC,95.236,101.045,82.787,18.258,96.533,109.614,155.304,93.977,1.114,23.960,10.326,2.320,16.97,175.762,567.197,1082.837,1542.738,2049.811,2561.389,2993.734,3255.880,440.017,39.771,-1.820,,
LFC_07.45.wav,LFC,92.731,115.544,62.334,53.210,100.926,146.996,277.492,106.876,1.531,44.498,9.796,4.543,12.67,263.067,611.303,1181.451,1614.371,2096.414,2579.248,2983.997,3334.101,438.719,39.889,-0.966,,
LFC_07.45_1.wav,LFC,78.325,116.160,61.030,55.130,114.792,171.701,306.111,114.218,1.485,53.001,8.418,6.296,11.60,232.094,585.123,1165.194,1544.594,1984.086,2469.350,2913.363,3217.678,426.512,41.030,-1.020,,
LFC_07.45_2.wav,LFC,93.364,101.224,69.080,32.144,95.663,125.123,237.580,93.351,1.612,29.449,6.202,4.749,17.04,189.097,533.579,1149.154,1554.364,1945.180,2487.256,2853.266,3175.992,426.699,41.012,-1.523,,
LFC_08.00.wav,LFC,84.322,115.706,64.220,51.486,113.181,154.358,284.168,114.638,1.520,63.207,9.542,6.624,11.45,213.297,603.562,1150.534,1550.362,1971.960,2504.360,2895.108,3304.158,441.552,39.633,-0.835,,
LFC_08.00_1.wav,LFC,95.232,107.178,73.778,33.400,96.889,122.612,228.137,96.785,1.566,32.978,8.620,3.826,16.45,257.525,658.412,1139.925,1567.012,2064.151,2588.986,3006.478,3266.583,429.865,40.710,-1.451,,
LFC_08.00_2.wav,LFC,88.102,94.590,67.201,27.390,91.162,132.692,288.431,93.423,1.937,19.235,6.710,2.866,18.76,260.097,629.610,1174.664,1551.595,2023.313,2568.663,3028.918,3146.122,412.289,42.446,-1.054,,
LFC_08.45.wav,LFC,84.575,94.849,63.851,30.998,91.649,136.332,272.966,91.925,1.176,39.883,8.932,4.465,10.05,275.962,664.486,1189.075,1604.307,2086.748,2609.735,3027.642,3282.053,429.442,40.751,-0.668,,
LFC_09.30.wav,LFC,92.579,116.348,62.476,53.872,120.889,207.508,341.900,109.505,1.670,38.843,13.469,2.884,5.32,271.661,672.073,1147.092,1550.631,2049.279,2535.276,3001.826,3319.795,435.448,40.189,-0.905,,
LFC_10.00.wav,LFC,89.538,116.552,63.470,53.082,164.318,252.559,397.732,113.764,1.516,51.372,8.576,5.990,8.90,261.545,568.954,1063.345,1538.970,1999.335,2475.459,2900.872,3334.908,439.052,39.859,-1.005,,
LFC_11.00.wav,LFC,94.575,112.972,61.993,50.978,177.223,223.811,384.984,109.134,1.531,57.207,9.469,6.041,12.11,269.390,597.696,1089.552,1523.552,2025.200,2487.370,2946.347,3239.168,424.254,41.249,-1.075,,
