file,Call type,Mean F0,Max F0, Min F0, Range F0,Q25%,Q50%,Q75%,Fpeak,sound duration,AM var,AM rate,AM extent,harmonicity, F1 mean,F2 mean,F3 mean,F4 mean,F5 mean,F6 mean,F7 mean,F8 mean,formant dispersal,vocal tract length,mean wiener entropy,Comment,
LFC_07.30.wav,LFC,78.505,81.362,74.399,6.964,100.570,204.578,414.775,83.557,1.753,18.591,10.267,1.811,16.11,265.443,641.116,1129.236,1556.621,1882.846,2577.757,2902.266,3386.513,445.867,39.249,-0.378,,
LFC_07.30_1.wav,LFC,80.754,85.230,70.204,15.026,194.798,355.532,820.440,82.925,2.421,22.072,8.880,2.486,13.66,311.075,616.473,1134.884,1543.777,1854.865,2588.130,2863.915,3362.074,435.857,40.151,-0.663,,
LFC_07.30_2.wav,LFC,81.218,85.125,73.914,11.211,178.814,320.157,697.897,82.806,2.045,18.639,7.823,2.383,13.71,302.658,615.797,1141.796,1540.034,1877.301,2578.966,2858.517,3353.730,435.867,40.150,-0.629,,
LFC_07.45.wav,LFC,80.775,81.706,78.418,3.289,136.768,306.476,675.002,87.685,1.294,24.718,5.023,4.921,14.46,310.465,629.853,1147.728,1562.206,1947.989,2578.781,2873.406,3325.343,430.697,40.632,-0.574,,
LFC_07.45_1.wav,LFC,84.578,90.187,65.031,25.155,131.849,238.948,523.002,90.758,2.198,29.732,9.780,3.040,12.50,295.191,651.603,1220.070,1584.405,1856.846,2566.330,2939.050,3384.904,441.388,39.648,-0.585,,
LFC_08.00.wav,LFC,92.331,97.542,81.708,15.835,168.191,282.698,522.336,86.342,1.544,41.326,9.388,4.402,7.42,306.231,618.446,1156.028,1608.630,1948.632,2577.294,2937.768,3245.366,419.876,41.679,-0.569,,
LFC_08.00_1.wav,LFC,91.482,97.587,75.949,21.638,219.551,335.457,618.170,87.064,2.922,19.988,9.069,2.204,10.04,310.648,635.452,1105.746,1501.413,1865.905,2543.772,2913.010,3399.220,441.225,39.662,-0.665,,
LFC_08.00_2.wav,LFC,92.604,102.903,70.679,32.223,120.620,231.334,445.973,95.142,1.461,40.549,10.952,3.703,6.58,324.970,631.077,1115.510,1564.733,1970.658,2576.170,2980.914,3311.560,426.656,41.017,-0.677,,
LFC_08.15.wav,LFC,79.881,84.354,66.562,17.792,108.900,224.873,491.171,89.412,1.851,24.276,10.808,2.246,10.34,279.690,663.864,1101.723,1523.512,1877.684,2591.415,3037.284,3445.467,452.254,38.695,-0.510,,
LFC_08.15_1.wav,LFC,80.213,89.941,74.434,15.508,90.619,144.528,246.513,101.821,1.544,35.138,10.683,3.289,10.55,246.001,620.009,1125.660,1583.935,1944.036,2609.588,3062.336,3281.296,433.614,40.359,-0.346,,
LFC_08.15_2.wav,LFC,79.522,83.363,73.945,9.418,123.745,267.470,568.480,87.122,1.725,26.668,10.722,2.487,11.28,333.998,630.413,1125.472,1581.960,1904.475,2608.936,2889.519,3281.791,421.113,41.557,-0.482,,
LFC_08.30.wav,LFC,81.092,89.587,67.841,21.746,161.148,300.184,715.510,94.787,2.212,31.839,9.492,3.354,10.39,298.129,659.947,1154.087,1563.274,1906.870,2586.751,2985.064,3451.291,450.452,38.850,-0.746,,
LFC_08.30_1.wav,LFC,82.273,102.655,72.866,29.788,144.694,274.782,493.235,98.356,1.934,38.351,9.565,4.009,8.26,322.742,637.238,1146.534,1534.046,1886.060,2564.499,2966.709,3450.543,446.829,39.165,-0.385,,
LFC_08.30_2.wav,LFC,77.510,101.223,71.938,29.285,135.029,256.673,483.230,83.176,1.851,19.954,9.997,1.996,14.43,296.382,616.377,1062.484,1527.054,1818.011,2563.129,2957.987,3484.301,455.417,38.426,-0.408,,
LFC_08.45.wav,LFC,79.908,84.148,70.214,13.934,146.837,299.813,537.927,83.959,1.531,24.606,12.087,2.036,10.56,316.644,596.758,1113.706,1536.139,1831.286,2542.757,2900.222,3405.532,441.270,39.658,-0.335,,
LFC_08.45_1.wav,LFC,83.251,93.827,69.471,24.356,183.644,317.191,638.639,85.938,2.073,28.090,8.923,3.148,12.93,303.180,613.284,1074.021,1580.065,1829.541,2552.424,2959.739,3387.980,440.686,39.711,-0.520,,
LFC_08.45_2.wav,LFC,83.642,91.032,72.649,18.383,174.503,319.263,702.617,86.556,1.670,31.887,11.080,2.878,9.36,302.295,672.570,1099.261,1561.264,1836.474,2562.495,2946.716,3309.271,429.568,40.739,-0.626,,
LFC_09.00.wav,LFC,86.038,112.405,72.715,39.690,134.772,261.725,510.969,98.014,2.115,34.135,8.984,3.800,11.82,317.900,647.382,1167.188,1512.721,1896.383,2545.967,3008.748,3433.804,445.129,39.314,-0.552,,
LFC_09.00_1.wav,LFC,75.238,78.362,70.075,8.287,154.180,292.614,590.743,89.870,1.642,20.789,7.309,2.844,11.92,304.470,662.413,1077.180,1544.907,1786.810,2453.232,2878.164,3325.788,431.617,40.545,-0.539,,
LFC_09.00_2.wav,LFC,80.197,86.880,64.699,22.181,165.662,292.633,615.288,84.180,2.769,26.255,8.848,2.967,13.73,285.260,659.224,1074.381,1541.624,1794.361,2572.896,2934.141,3454.990,452.819,38.647,-0.667,,
LFC_09.15.wav,LFC,78.467,83.532,69.532,14.000,102.704,204.233,440.968,85.202,1.670,26.712,8.984,2.973,11.45,301.461,624.882,1130.267,1554.753,1852.293,2554.609,3052.740,3429.038,446.797,39.168,-0.436,,
LFC_09.15_1.wav,LFC,76.265,83.365,66.528,16.836,123.495,271.997,629.385,88.371,2.031,34.650,8.122,4.266,8.46,332.642,647.674,1147.562,1591.814,1921.388,2593.569,2898.823,3303.257,424.374,41.237,-0.478,,
LFC_09.45.wav,LFC,85.141,111.399,70.269,41.130,116.175,222.652,472.515,111.328,1.322,46.884,13.617,3.443,4.69,311.165,641.537,1179.607,1590.590,1905.076,2576.384,3014.378,3349.046,433.983,40.324,-0.489,,
LFC_09.45_1.wav,LFC,74.907,79.329,67.302,12.027,135.796,270.067,497.873,88.397,1.614,30.830,8.674,3.554,10.96,301.106,628.104,1052.970,1555.257,1925.594,2443.700,2898.798,3415.668,444.937,39.331,-0.389,,
LFC_10.15.wav,LFC,78.382,90.874,70.034,20.841,124.509,271.059,509.569,89.160,1.211,42.650,8.674,4.917,7.71,320.669,592.126,1115.805,1597.753,1904.778,2406.823,2901.987,3312.067,427.343,40.951,-0.318,,
LFC_10.30.wav,LFC,77.082,83.237,67.661,15.576,172.440,293.186,578.012,83.341,1.531,32.876,9.800,3.355,8.80,303.149,628.421,1108.434,1575.604,1845.430,2523.224,2944.808,3400.293,442.449,39.553,-0.482,,
LFC_10.45.wav,LFC,76.641,81.628,68.334,13.294,112.087,221.912,441.877,84.208,1.990,25.512,10.806,2.361,11.65,278.913,643.633,1105.344,1579.282,1878.769,2536.071,2967.707,3361.703,440.399,39.737,-0.340,,
LFC_11.00.wav,LFC,79.120,99.787,67.739,32.047,111.290,234.436,488.516,143.656,1.377,42.821,12.341,3.470,6.33,307.227,632.996,1096.319,1554.058,1880.433,2534.562,2914.147,3144.591,405.338,43.174,-0.422,,
LFC_11.30.wav,LFC,75.292,80.078,64.054,16.024,181.468,349.819,793.139,84.326,1.946,23.514,10.535,2.232,10.48,330.446,681.997,1125.288,1552.294,1788.927,2539.164,3024.745,3531.972,457.361,38.263,-0.716,,
